buying,doors,lug_boot,maint,persons,safety,label
med,5more,small,med,4,low,2
vhigh,4,med,vhigh,4,low,2
med,2,med,vhigh,4,high,0
med,2,big,high,4,med,0
med,5more,med,med,more,med,0
vhigh,3,med,vhigh,2,low,2
vhigh,5more,big,low,4,high,0
med,5more,small,vhigh,2,high,2
low,3,small,low,more,low,2
med,3,big,high,2,med,2
low,4,med,low,4,low,2
high,3,small,high,2,med,2
low,3,big,vhigh,4,low,2
low,3,med,low,4,med,1
vhigh,2,med,low,2,med,2
vhigh,4,big,vhigh,4,med,2
med,5more,med,high,4,med,0
med,3,med,high,2,med,2
high,2,med,med,more,high,0
vhigh,3,small,high,more,high,2
high,4,big,vhigh,more,med,2
low,2,med,med,4,high,1
high,5more,small,med,4,med,2
vhigh,5more,small,vhigh,4,med,2
high,5more,med,low,more,high,0
vhigh,4,med,med,4,high,0
med,3,small,low,more,high,1
high,4,big,med,more,med,0
high,2,big,low,more,med,0
high,5more,big,low,more,med,0
high,3,med,high,4,med,2
low,4,small,low,more,med,0
low,5more,med,vhigh,2,high,2
high,5more,big,vhigh,more,low,2
med,4,big,vhigh,4,high,0
vhigh,3,big,low,2,low,2
low,2,small,high,2,low,2
high,4,big,high,more,high,0
low,4,med,vhigh,2,high,2
high,5more,med,med,4,med,0
vhigh,4,small,med,2,high,2
med,4,big,vhigh,4,high,0
low,4,big,med,2,low,2
high,4,med,vhigh,2,med,2
med,3,small,vhigh,4,low,2
med,4,med,low,4,high,3
high,2,med,low,4,low,2
vhigh,5more,small,vhigh,4,low,2
med,2,med,low,2,high,2
vhigh,2,big,vhigh,2,high,2
high,3,med,vhigh,more,high,2
vhigh,4,med,med,2,med,2
vhigh,4,med,low,more,low,2
high,4,big,high,more,high,0
med,2,small,med,more,low,2
high,5more,small,med,more,high,0
low,4,big,med,4,low,2
high,4,med,vhigh,2,high,2
high,5more,med,high,more,med,0
low,4,big,vhigh,4,low,2
med,3,big,med,4,high,3
med,4,med,vhigh,2,med,2
med,3,small,vhigh,2,med,2
med,5more,big,vhigh,4,high,0
vhigh,2,big,high,more,med,2
low,3,med,vhigh,4,high,0
med,2,small,low,4,low,2
high,2,big,med,4,med,0
med,4,small,high,2,med,2
vhigh,5more,med,med,more,high,0
low,5more,med,low,more,high,3
high,3,small,vhigh,2,low,2
high,5more,big,low,2,high,2
high,4,small,vhigh,2,high,2
vhigh,4,med,vhigh,more,low,2
vhigh,4,small,vhigh,4,high,2
med,3,small,high,more,low,2
high,4,med,high,more,med,0
low,4,small,low,2,med,2
med,4,small,low,2,low,2
low,3,big,vhigh,more,low,2
vhigh,3,med,high,4,low,2
med,2,med,med,4,low,2
vhigh,4,med,high,2,low,2
vhigh,5more,small,med,4,low,2
high,3,med,low,2,med,2
med,5more,small,med,2,low,2
high,2,small,low,4,med,2
med,3,big,low,4,med,1
vhigh,5more,small,med,4,low,2
vhigh,2,big,med,4,low,2
low,4,med,med,more,med,1
low,4,big,med,4,high,3
vhigh,5more,big,high,2,high,2
med,3,med,vhigh,4,med,2
vhigh,2,big,low,4,med,0
low,3,big,low,2,low,2
vhigh,4,med,low,4,med,0
high,4,med,med,4,low,2
med,2,med,vhigh,more,high,0
high,5more,small,low,4,high,0
med,3,med,vhigh,more,low,2
high,4,big,vhigh,4,med,2
low,5more,big,vhigh,4,high,0
high,2,med,high,more,med,2
vhigh,4,med,med,more,high,0
med,4,med,low,more,med,1
med,5more,big,high,4,low,2
vhigh,3,med,low,4,high,0
vhigh,3,small,med,2,med,2
high,2,big,high,2,low,2
med,4,big,vhigh,4,low,2
high,4,big,high,more,med,0
vhigh,2,med,low,4,med,2
low,4,small,vhigh,2,high,2
low,3,med,vhigh,2,high,2
low,4,big,low,2,med,2
vhigh,3,med,low,2,high,2
low,4,big,med,more,high,3
vhigh,3,small,low,4,low,2
med,2,small,high,4,high,2
low,4,big,med,4,med,1
high,4,small,med,4,low,2
high,2,med,med,more,high,0
med,2,big,vhigh,more,high,0
high,2,big,vhigh,more,high,2
vhigh,2,small,vhigh,4,med,2
med,3,big,med,2,high,2
low,4,small,high,2,med,2
vhigh,5more,big,vhigh,2,high,2
high,3,med,med,2,med,2
high,2,big,med,2,low,2
high,4,small,vhigh,4,med,2
vhigh,4,small,high,2,med,2
high,5more,med,vhigh,more,high,2
med,3,big,vhigh,more,high,0
high,4,small,low,more,med,2
med,2,med,low,2,high,2
vhigh,2,small,low,2,low,2
high,3,big,low,4,med,0
med,3,big,high,4,med,0
low,5more,small,vhigh,2,high,2
high,4,big,vhigh,2,high,2
low,5more,med,high,more,med,0
med,5more,med,high,more,med,0
high,2,big,high,4,med,0
med,5more,med,high,4,low,2
med,2,big,high,4,med,0
