a10,a11,a12,a13,a15,a3,a8,a9,label
f,0,t,g,0,17.75,0.0,t,0
f,0,t,g,4000,5.125,5.0,t,0
t,2,t,g,3,0.875,0.375,f,1
f,0,f,g,0,4.415,3.0,t,0
t,3,t,g,150,0.75,4.25,t,0
t,10,t,g,0,4.415,0.25,t,0
f,0,t,s,0,6.625,5.5,t,0
f,0,t,g,1000,4.0,1.0,f,1
t,2,f,g,7,5.125,4.75,t,0
t,2,f,g,5552,12.625,0.125,f,0
f,0,f,g,1,2.04,1.5,f,1
f,0,t,g,10561,16.5,11.0,t,0
t,11,t,g,35,1.5,2.0,t,1
f,0,f,g,1,0.835,0.0,t,1
t,10,t,g,0,5.0,3.5,t,0
f,0,t,g,251,0.75,0.165,f,1
f,0,t,g,0,0.585,0.585,t,0
f,0,f,g,13,10.25,1.085,f,1
f,0,t,g,2,0.75,0.75,f,1
t,11,t,g,284,6.75,2.625,t,0
f,0,f,g,4,3.0,1.5,f,1
t,8,f,g,375,0.29,1.75,t,0
t,2,f,g,1,14.0,0.0,f,1
f,0,f,s,0,0.335,0.29,f,1
f,0,f,g,0,7.0,1.0,f,1
f,0,f,g,1058,3.165,0.165,f,1
f,0,t,s,0,0.75,0.5,f,1
f,0,t,g,0,1.54,0.125,t,0
t,3,f,g,33,1.375,0.04,f,1
t,4,f,g,540,9.25,1.21,t,0
f,0,t,g,6,4.5,1.0,f,1
t,1,f,g,1,7.25,0.04,f,1
f,0,t,g,1110,13.0,0.0,f,1
t,3,f,g,1000,0.54,0.5,t,0
t,3,f,g,33,1.375,0.04,f,1
t,1,t,g,18027,3.04,2.04,t,0
f,0,f,g,1,3.0,7.0,f,1
f,0,f,g,0,13.0,0.5,f,1
f,0,t,g,1212,11.46,1.585,f,0
t,11,t,g,284,6.75,2.625,t,0
t,8,t,g,4159,3.0,2.375,t,0
f,0,f,s,0,5.625,1.71,t,0
t,3,f,g,14,25.085,1.75,t,0
t,6,f,g,0,2.75,4.25,t,0
t,9,f,g,396,10.04,0.04,t,0
f,0,t,g,6,4.5,1.0,f,1
f,0,f,s,0,12.0,16.0,t,0
f,0,f,g,1004,0.585,0.04,f,1
t,1,t,g,18027,3.04,2.04,t,0
f,0,t,s,0,0.375,10.0,f,1
f,0,t,g,2,3.29,0.335,f,1
f,0,f,g,200,1.5,1.415,t,1
t,4,f,g,1950,0.875,0.085,f,0
f,0,f,g,0,0.125,0.165,f,1
t,1,t,g,80,3.165,0.415,f,1
t,11,f,g,456,1.0,2.0,t,0
f,0,t,s,0,0.5,0.085,f,1
t,1,f,g,768,0.125,1.0,f,1
f,0,f,g,16,2.5,1.0,f,1
f,0,f,g,0,9.96,0.0,t,0
t,4,f,g,7544,2.0,1.0,t,0
f,0,f,g,0,11.0,0.665,t,0
f,0,f,g,0,1.25,1.75,f,1
t,2,f,g,300,2.0,1.5,t,0
t,2,t,g,551,11.75,0.5,t,0
t,15,t,g,5000,7.585,7.585,t,0
t,1,f,g,19,12.0,2.0,t,0
f,0,t,s,0,1.29,0.25,f,1
f,0,t,s,0,0.165,2.25,f,1
f,0,f,g,17,2.0,2.0,f,1
f,0,f,s,0,0.5,10.75,t,1
t,6,t,g,347,0.46,2.625,t,1
f,0,f,s,0,0.5,0.25,t,1
t,11,t,g,2184,2.5,1.085,t,0
f,0,t,g,1,0.54,1.0,f,1
t,8,t,g,3290,0.83,1.335,t,0
f,0,t,g,4,4.25,5.0,f,1
t,2,t,g,108,1.25,0.25,f,1
t,11,t,g,2184,2.5,1.085,t,0
t,2,f,g,0,1.125,1.29,t,0
f,0,t,g,0,11.0,3.0,t,1
f,0,f,g,50,4.25,3.5,f,1
f,0,t,g,0,2.54,0.25,t,0
t,8,t,g,7,5.04,1.5,t,0
f,0,t,g,0,0.165,0.04,f,1
f,0,t,g,40,3.0,0.04,f,1
f,0,f,p,0,2.165,1.5,f,1
f,0,f,p,0,0.0,0.0,f,0
t,6,t,g,0,5.0,5.0,t,0
f,0,f,g,1,0.585,0.125,f,1
t,3,t,g,582,1.5,2.375,t,0
f,0,f,g,0,1.5,0.0,f,1
f,0,t,g,0,2.5,7.5,t,1
t,3,f,g,6,3.0,0.165,t,0
t,12,t,g,567,12.5,1.5,t,0
f,0,f,g,0,10.125,0.125,f,1
t,2,t,g,41,3.085,2.5,f,1
f,0,f,g,20,3.0,0.0,f,1
f,0,t,g,639,3.25,9.0,t,0
t,12,t,g,3,10.665,0.085,f,1
f,0,f,s,0,1.5,0.04,f,1
t,4,f,g,540,9.25,1.21,t,0
t,20,f,g,15000,0.29,15.0,t,0
t,2,t,g,2000,0.875,4.625,t,0
t,2,t,g,1,0.165,1.0,f,1
f,0,t,g,251,0.75,0.165,f,1
f,0,f,g,5200,11.25,0.0,f,0
f,0,f,g,0,11.0,0.665,t,0
f,0,t,g,0,4.0,2.5,t,1
t,16,f,g,2079,1.46,1.085,t,0
t,40,f,g,15,28.0,28.5,t,0
f,0,t,g,67,3.0,0.75,f,1
f,0,f,s,0,3.5,0.5,f,1
t,2,f,g,444,12.75,4.75,t,0
f,0,f,s,0,1.5,2.0,t,1
f,0,t,g,0,1.54,0.125,t,0
f,0,f,g,687,5.5,5.0,f,0
f,0,t,g,55,0.46,0.125,f,1
t,8,t,g,4159,3.0,2.375,t,0
t,1,t,g,20,1.71,1.665,t,0
f,0,f,g,0,2.085,0.085,f,1
t,19,f,g,500,3.0,1.835,t,0
f,0,t,g,0,3.375,8.29,f,1
t,11,f,g,99,0.21,0.29,t,0
f,0,t,g,0,3.165,3.75,t,1
f,0,f,g,0,13.5,0.0,f,1
f,0,f,g,0,2.25,0.75,t,1
f,0,f,g,0,4.415,3.0,t,0
t,1,t,g,9,0.75,1.585,f,1
