adarb1_n,akt_n,ampka_n,arc_n,acetylh3k9_n,bax_n,behavior,camkii_n,cdk5_n,cana_n,erbb4_n,gfap_n,gsk3b_n,genotype,glur3_n,glur4_n,il1b_n,itsn1_n,mtor_n,nr1_n,numb_n,p3525_n,p70s6_n,psd95_n,rrp1_n,rsk_n,s6_n,shh_n,snca_n,syp_n,tiam1_n,tau_n,treatment,ubiquitin_n,nnos_n,pakt_n,pcamkii_n,pcasp9_n,pelk_n,pgsk3b_n,pgsk3b_tyr216_n,pjnk_n,pmek_n,pmtor_n,pnr2a_n,pnumb_n,ppkcab_n,ppkcg_n,ps6_n,class
1.20025525,0.682902781,0.370143956,0.133658197,0.09270217,0.174034111,C/S,0.38315914,0.317438218,1.626290753,0.155586495,0.122055923,1.012817985,Control,0.245156051,0.14015547,0.637428936,0.500887399,0.484519819,2.069808716,0.186680589,0.310592876,0.954751131,2.274277758,0.159879336,0.15795701,0.370808679,0.228564799,0.169857292,0.479521986,0.403667916,0.201879568,Memantine,1.334725606,0.169161156,0.231315322,3.681325182,1.730363151,1.175507789,0.153382063,0.797540318,0.337803195,0.257345691,0.751331098,0.761782686,0.464602642,1.078682706,0.828170321,0.133658197,0
1.014448336,0.581235698,0.287252659,0.104903678,0.469702277,0.193870403,C/S,0.324808184,0.312872154,1.376970228,0.14352014,0.12732049,1.187508413,Ts65Dn,0.23178634,0.121628722,0.516462347,0.685960425,0.242697537,1.99380805,0.202014011,0.323730298,0.947110333,2.002101576,0.163222417,0.136357518,0.626269702,0.217950963,0.157705779,0.361208406,0.384439359,0.254290718,Saline,1.160070053,0.157180385,0.180643424,2.291156279,1.337478109,1.272849643,0.15849387,0.860245184,0.239601561,0.210795531,0.191815857,0.469107551,0.305559295,1.818279715,2.619702277,0.104903678,0
0.998971193,nan,nan,0.118606702,0.236625514,0.184744268,S/C,nan,0.335390947,1.443268665,0.164756026,0.128453851,nan,Ts65Dn,0.191504997,0.115226337,0.536890065,nan,nan,nan,0.189153439,0.322163433,1.009553204,2.149176955,0.183421517,nan,0.525279248,0.194444444,0.168577307,0.422986479,nan,0.289535567,Saline,1.224867725,0.190917108,nan,nan,1.504703116,nan,0.191798942,0.997942387,nan,nan,nan,nan,nan,nan,2.636243386,0.118606702,0
1.951280912,1.028539241,0.538302666,0.148773385,0.135248532,0.202872797,C/S,0.400675929,0.355595044,1.649982724,0.185793968,0.119354361,1.533420954,Control,0.22079076,0.124734686,0.571351004,0.954187007,0.537645513,2.930717236,0.248877042,0.303667506,1.223801767,2.221383089,0.150501012,0.16804356,0.676686905,0.211461573,0.148822745,0.54124093,0.527037176,0.353719335,Memantine,1.180117479,0.219754183,0.197897109,1.765114532,1.788785231,1.808111153,0.172713362,0.833703539,0.348666917,0.245963199,0.799380398,1.008636876,0.488265115,1.603736388,0.605804827,0.148773385,0
0.872029432,0.751487336,0.397416284,0.118424978,0.111961818,0.18375261,C/S,0.438041815,0.328030228,1.521328428,0.13572636,0.123297206,1.057793643,Control,0.200258526,0.111961818,0.385701501,0.61227265,0.39163692,2.295597484,0.20682112,0.221040072,0.869841901,2.192999901,0.191110669,0.204657488,0.684995526,0.18434921,0.150541911,0.258625833,0.398096209,0.164860296,Saline,0.97136323,0.152331709,0.246642869,3.731769505,1.208412051,1.533061363,0.176394551,0.636770409,0.322794493,0.307666157,0.749617542,0.761176271,0.46472888,1.509094,0.913990256,0.118424978,0
1.003654283,0.80857282,0.334924501,0.119483971,0.372072421,0.183267815,S/C,0.338236727,0.312551907,1.213941642,0.158130779,0.112673717,1.095275207,Ts65Dn,0.208792426,0.149493384,0.54830851,0.613151486,0.448124696,2.153044325,0.208792426,0.315873983,0.95421073,2.157521732,0.155694591,0.157720409,0.737223852,0.284148165,0.13415647,0.377941421,0.424159766,0.280770721,Saline,1.110791208,0.189136814,0.220555285,3.476863127,1.562261226,1.008865075,0.157687836,0.883118321,0.287871408,0.276278617,0.664003897,0.643253775,0.31962981,1.428738432,2.192569625,0.119483971,0
1.373237909,0.803575322,0.418683235,0.11282802,0.219041423,0.178377792,S/C,0.372683671,0.293320321,1.215300369,0.161353286,0.111418347,1.306409418,Ts65Dn,0.250162655,0.146551724,0.490078074,0.699585786,0.482777414,2.855788097,0.190143136,0.311374973,0.944372154,2.307742355,0.170841466,0.165794637,0.541422685,0.207059206,0.130557363,0.494523964,0.523980815,0.183311646,Saline,1.269193234,0.189546736,0.261063876,6.315456726,1.924690956,1.437431873,0.164660594,0.880774236,0.363200349,0.321887944,0.826684107,0.965118814,0.411052976,1.624046218,1.965300369,0.11282802,0
1.02828208,0.710470085,0.40491453,0.123379029,0.320365567,0.177596641,S/C,0.38974359,0.266765469,1.076818575,0.160182784,0.126466593,1.097863248,Control,0.244535013,0.161664814,0.546004693,0.371794872,0.554700855,2.206196581,0.154872175,0.310979375,0.66049154,2.102383599,0.158824256,0.164957265,0.355687292,0.236630851,0.179819686,0.478572311,0.489102564,0.240088922,Saline,1.271335062,0.170804001,0.253205128,4.849358974,1.267012474,1.088675214,0.140422379,0.820303816,0.322435897,0.287820513,0.828632479,0.664102564,0.378632479,1.758333333,2.230826232,0.123379029,0
1.548400793,0.608768267,0.322546973,0.099632041,0.275969431,0.175771299,C/S,0.350939457,0.301585055,1.743136145,0.149448061,0.115199547,1.327974948,Control,0.186810076,0.09043306,0.509482027,0.482463466,0.431106472,2.057411273,0.152986131,0.29422587,0.670393433,1.988112086,0.143928673,0.166388309,0.411406736,0.23931503,0.143645627,0.471270875,0.379749478,0.170110388,Saline,1.172940843,0.13005944,0.230688935,2.34091858,1.486555335,1.179123173,0.167138409,0.925417492,0.294572025,0.266388309,0.66263048,0.505219207,0.366388309,2.20960334,2.111944523,0.099632041,0
1.124912281,0.666283613,0.390025282,0.14077193,0.091649123,0.165473684,C/S,0.377384509,0.315087719,1.577964912,0.154245614,0.135719298,0.959089864,Control,0.255578947,0.144701754,0.63522807,0.477591358,0.503332567,1.954952884,0.174596491,0.31522807,0.903578947,2.188631579,0.166035088,0.163640542,0.341052632,0.246315789,0.186526316,0.459087719,0.407032866,0.171649123,Memantine,1.335298246,0.170245614,0.236497357,3.416226155,1.635508772,1.089404735,0.163087719,0.831719298,0.335784877,0.257871754,0.761204321,0.704895426,0.453918639,1.012640772,0.871719298,0.14077193,0
