,clouds_6,day_time_3,init_pos_4,label
0,4,69300.0074,1.2494,0
1,1,86599.4563,5.1774,1
2,5,51548.1608,0.1586,1
3,0,92857.9654,3.9287,1
4,2,68917.829,5.7809,1
5,2,68956.8797,5.2295,1
6,2,57860.1765,3.1503,1
7,2,70561.779,5.7607,1
8,1,77599.7069,7.2918,1
9,0,56028.7637,7.056,1
10,2,84742.4964,4.157,1
11,5,69621.393,6.96,1
12,4,87983.0553,5.4972,1
13,1,60726.8301,7.492,1
14,2,74006.7681,5.682,1
15,1,75525.5964,2.0132,1
16,4,55081.2065,4.4082,1
17,0,57486.3685,4.9191,1
18,2,93671.8983,0.8702,1
19,5,56458.0946,0.3497,0
20,0,70508.0686,5.3609,1
21,5,84988.0125,0.3178,0
22,2,69561.9747,7.9198,1
23,5,64924.575,2.8892,1
24,0,70162.5166,1.3255,0
25,3,80300.8947,4.1374,1
26,4,73404.9362,1.6336,0
27,0,72022.3752,0.6169,0
28,3,68919.5911,1.3589,0
29,4,72045.3091,5.3472,1
30,3,93590.5189,1.3572,1
31,0,69736.025,6.9609,1
32,2,56840.5419,1.7315,0
33,3,70638.8127,1.0158,0
34,4,65445.3208,3.854,1
35,5,69048.9771,2.3924,0
36,4,83283.8566,2.831,0
37,0,78917.01,1.4164,1
38,5,51120.6258,6.1379,1
39,2,88304.6594,4.0553,1
40,2,52080.6148,6.6095,1
41,0,57318.502,0.3627,1
42,2,91381.0854,4.9284,1
43,2,53588.5554,4.8854,1
44,1,80796.9472,3.0639,1
45,3,70143.0036,3.8951,1
46,1,76888.8772,6.1451,1
47,5,59431.7192,1.7563,0
48,3,53157.7702,1.2237,1
49,0,65660.2021,2.2364,0
50,3,78297.8692,3.4802,1
51,5,72792.8132,0.1204,0
52,2,69874.0558,2.5355,0
53,5,71716.8438,0.8517,0
54,3,53777.7249,0.6369,1
55,2,90989.4879,5.3038,1
56,4,82429.502,6.9521,1
57,5,50734.3018,2.7573,1
58,2,83319.8955,1.7649,1
59,2,60838.1321,3.0764,1
60,4,59894.4352,3.9186,1
61,3,75628.8258,7.742,1
62,4,67661.5568,2.5704,0
63,4,73526.8692,4.957,1
64,2,79593.5348,1.2521,1
65,0,88688.1358,1.6475,1
66,4,84772.1456,6.1213,1
67,2,51401.2428,6.7357,1
68,4,53969.3184,0.9721,0
69,2,56547.9038,5.849,1
70,5,77443.4722,3.5609,1
71,4,65920.3517,1.2227,0
72,2,67470.7773,6.4474,1
73,5,51860.4679,5.7625,1
74,5,75650.5627,7.5945,1
75,2,93211.5281,1.6864,1
76,1,93035.6087,4.4268,1
77,4,54483.915,1.0329,0
78,1,92632.3181,7.3156,1
79,4,53498.3543,4.1526,1
80,3,57576.9901,4.9415,1
81,3,89539.8053,5.2303,1
82,1,56891.0883,2.2681,0
83,5,93616.6436,1.6543,0
84,0,54807.2291,3.547,1
85,2,74011.3867,5.5901,1
86,0,87514.2523,0.349,1
87,3,73963.7093,7.8044,1
88,1,81203.4045,6.4496,1
89,5,54487.6369,6.4944,1
90,4,62929.3432,6.8838,1
91,1,53368.987,4.9795,1
92,0,65232.3967,6.6979,1
93,5,66129.1404,2.0052,0
94,1,59250.6019,3.3727,1
95,1,90779.0225,1.8187,0
96,4,89318.6375,4.1748,1
97,1,55543.3559,5.4171,1
98,5,55608.7316,1.8356,0
99,0,83222.9585,5.0744,1
100,3,74826.1169,7.1556,1
101,3,70487.1993,5.028,1
102,3,71997.1944,3.3494,1
103,2,56256.9389,3.9489,1
104,0,50598.6563,3.5515,1
105,4,56335.4399,6.3275,1
106,0,81742.7724,4.9064,1
107,0,78584.3202,4.059,1
108,3,82087.0495,2.1421,1
109,4,79083.932,0.5692,0
110,1,63760.97,3.0607,1
111,3,88629.2671,2.014,1
112,5,71501.7798,0.5733,0
113,3,90688.095,5.748,1
114,3,70314.0139,6.3903,1
115,1,72799.9429,0.4907,0
116,0,76570.2325,5.3367,1
117,5,94180.4407,0.0858,0
118,2,56716.1433,2.2658,0
119,2,55845.5104,0.6774,0
120,5,93627.4139,0.3504,0
121,3,91115.2834,3.5429,1
122,1,94614.9984,6.8909,1
123,3,79668.3891,5.3486,1
124,5,54631.5336,7.3489,1
125,3,64009.8664,3.9918,1
126,5,74451.5678,0.6463,0
127,5,82371.8948,5.4138,1
128,1,80874.8928,5.0924,1
129,3,94429.6685,0.5627,1
130,5,88419.3187,1.4662,0
131,1,79556.2265,0.7087,1
132,1,70437.279,2.6254,0
133,2,78434.0207,4.0336,1
134,2,56972.754,0.2466,1
135,2,50220.9417,2.7871,1
136,4,68293.3396,3.4591,1
137,1,90100.9998,1.3113,0
138,0,70796.8248,6.034,1
139,0,73908.0809,7.273,1
140,4,75681.0437,6.3885,1
141,0,92495.2945,4.0494,1
142,3,67721.0903,7.6289,1
143,3,81303.752,3.2199,1
144,5,70284.2255,4.3714,1
145,3,68159.3014,7.5659,1
146,4,76912.3031,7.6288,1
147,4,78388.8099,5.0478,1
148,2,60548.0133,2.02,0
149,1,74371.544,4.7938,1
150,0,57401.0161,7.871,1
151,2,84554.649,7.5453,1
152,3,51931.5289,4.0726,1
153,0,80571.6458,0.7348,1
154,2,68921.2812,2.8835,1
155,2,56956.7721,7.33,1
156,5,55145.1559,3.4178,1
157,3,65773.6575,0.8331,0
158,5,76881.613,3.2853,0
159,0,71700.5943,3.5639,1
160,2,82693.6148,0.4644,1
161,0,76141.8025,0.7867,1
162,2,58959.6399,7.7689,1
163,4,82599.8264,7.3248,1
164,5,57267.4321,0.2702,0
165,3,67501.1399,4.6514,1
166,1,72113.5539,6.0198,1
167,4,71982.6686,7.6418,1
168,5,61022.5586,2.3568,0
169,1,68213.6525,3.2534,1
170,1,81508.4786,1.0415,1
171,1,82560.9129,5.6339,1
172,2,87667.1314,5.9123,1
173,1,82821.9686,0.3669,1
174,1,53534.74,1.7032,1
175,5,77195.4913,6.6927,1
176,5,64183.5064,0.1515,0
177,4,86002.3514,0.4888,0
178,3,70846.6037,6.2902,1
179,4,61098.2681,6.2558,1
180,0,61152.3656,3.5025,1
181,2,74073.8613,5.0838,1
182,2,81542.8504,6.7864,1
183,3,91177.702,7.3231,1
184,4,57356.7211,5.8231,1
185,1,70764.3522,5.252,1
186,2,84548.7149,2.2186,1
187,0,81639.4115,5.1687,1
188,0,51504.0733,6.2311,1
189,4,74740.5831,3.0315,1
190,4,63145.1166,5.8328,1
191,5,66056.4723,6.1592,1
192,5,79365.6173,3.2472,0
