,left_distance,left_weight,right_distance,right_weight,label
0,4,5,1,3,1
1,2,1,4,2,2
2,3,4,5,3,2
3,5,4,5,4,0
4,4,5,2,4,1
5,1,1,1,4,2
6,4,2,2,3,1
7,4,4,4,5,2
8,1,5,4,1,1
9,2,3,5,2,2
10,2,2,5,3,2
11,2,1,1,3,2
12,2,5,4,2,1
13,1,5,2,1,1
14,4,3,1,3,1
15,4,1,3,1,1
16,1,3,1,2,1
17,5,3,5,4,2
18,2,1,1,5,2
19,3,4,1,2,1
20,1,2,3,4,2
21,5,5,3,4,1
22,5,3,4,3,1
23,1,4,1,4,0
24,3,4,2,2,1
25,2,3,1,4,1
26,1,3,4,4,2
27,4,4,3,4,1
28,3,2,4,1,1
29,3,3,1,3,1
30,5,3,2,5,1
31,1,2,2,3,2
32,4,4,3,4,1
33,5,2,1,5,1
34,4,4,1,1,1
35,1,4,5,2,2
36,2,1,1,5,2
37,4,5,2,5,1
38,1,1,5,1,2
39,5,2,2,4,1
40,1,2,3,3,2
41,3,2,5,5,2
42,3,3,1,3,1
43,2,5,5,5,2
44,5,3,5,5,2
45,5,2,1,5,1
46,3,3,2,5,2
47,3,5,3,3,1
48,4,4,2,3,1
49,3,4,2,5,1
50,5,4,2,2,1
51,3,1,2,4,2
52,4,5,4,5,0
53,4,3,3,2,1
54,1,5,4,3,2
55,2,2,1,3,1
56,5,2,5,1,1
57,2,4,3,5,2
58,5,2,5,4,2
59,2,1,3,3,2
60,2,1,3,2,2
61,1,5,4,2,2
62,3,3,4,2,1
63,5,5,2,5,1
64,3,1,4,5,2
65,2,5,2,5,0
66,4,1,3,2,2
67,2,2,4,1,0
68,1,4,4,4,2
69,4,5,1,2,1
70,1,4,4,2,2
71,5,5,1,4,1
72,2,2,4,1,0
73,5,1,1,4,1
74,4,1,4,5,2
75,4,4,3,1,1
76,2,2,1,5,2
77,3,2,1,5,1
78,5,3,3,2,1
79,3,4,4,4,2
80,2,4,5,5,2
81,4,4,2,2,1
82,1,3,2,1,1
83,2,3,2,2,1
84,1,2,2,5,2
85,2,5,5,2,0
86,3,2,3,2,0
87,5,1,3,5,2
88,1,3,4,5,2
89,4,4,2,4,1
90,3,3,5,2,2
91,2,2,4,4,2
92,3,2,4,1,1
93,3,2,1,2,1
94,5,4,2,4,1
95,5,3,1,2,1
96,4,3,1,3,1
97,3,4,1,5,1
98,5,2,5,1,1
99,1,1,1,2,2
100,3,5,3,2,1
101,2,1,5,4,2
102,4,3,5,3,2
